#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g14_Re     g14_Im
11.6553087 -0.0129013 -0.1519532  0.0057165 -0.0011985  0.0000010  0.0000008
11.7181406 -0.0133786 -0.1501341  0.0061497 -0.0011821 -0.0000048 -0.0000019
11.7809725 -0.0131518 -0.1499381  0.0062568 -0.0012270 -0.0000088  0.0000004
11.8438043 -0.0126521 -0.1495982  0.0060981 -0.0014056 -0.0000016 -0.0000106
11.9066362 -0.0130437 -0.1494127  0.0061429 -0.0012200 -0.0000076 -0.0000088
11.9694680 -0.0128598 -0.1484188  0.0058704 -0.0011719 -0.0000089 -0.0000010
12.0322999 -0.0136403 -0.1476780  0.0056787 -0.0013138  0.0000017 -0.0000043
12.0951317 -0.0126487 -0.1469011  0.0058426 -0.0012361 -0.0000063 -0.0000038
12.1579636 -0.0128353 -0.1466868  0.0055938 -0.0011512 -0.0000006 -0.0000048
12.2207954 -0.0120489 -0.1469346  0.0055292 -0.0012632 -0.0000050 -0.0000035
12.2836273 -0.0122082 -0.1455031  0.0057035 -0.0008950 -0.0000036  0.0000012
12.3464591 -0.0131895 -0.1443357  0.0053713 -0.0011722 -0.0000030 -0.0000047
12.4092910 -0.0128396 -0.1447763  0.0055301 -0.0012065  0.0000030 -0.0000023
12.4721228 -0.0121257 -0.1435619  0.0051034 -0.0009280 -0.0000025 -0.0000006
12.5349547 -0.0124942 -0.1439709  0.0053420 -0.0009815 -0.0000090 -0.0000025
12.5977865 -0.0124295 -0.1425935  0.0051714 -0.0009028 -0.0000018 -0.0000031
12.6606184 -0.0116394 -0.1421673  0.0052801 -0.0008575 -0.0000031 -0.0000004
12.7234502 -0.0119299 -0.1411194  0.0052834 -0.0010795 -0.0000043 -0.0000015
12.7862821 -0.0118638 -0.1413839  0.0051791 -0.0008169 -0.0000037  0.0000037
12.8491140 -0.0113874 -0.1405542  0.0050480 -0.0010215 -0.0000020 -0.0000075
12.9119458 -0.0114247 -0.1397188  0.0048837 -0.0010844  0.0000041 -0.0000079
12.9747777 -0.0116025 -0.1392430  0.0049515 -0.0009279 -0.0000029 -0.0000033
13.0376095 -0.0122018 -0.1386734  0.0048274 -0.0008528 -0.0000033 -0.0000041
13.1004414 -0.0112964 -0.1379849  0.0048844 -0.0009726  0.0000005  0.0000044
13.1632732 -0.0120221 -0.1374058  0.0048535 -0.0009271 -0.0000053 -0.0000043
13.2261051 -0.0116905 -0.1365539  0.0048221 -0.0009923 -0.0000068 -0.0000091
13.2889369 -0.0109779 -0.1362704  0.0047904 -0.0010871 -0.0000029 -0.0000073
13.3517688 -0.0103442 -0.1342932  0.0047820 -0.0011456 -0.0000050 -0.0000053
13.4146006 -0.0111139 -0.1347928  0.0046839 -0.0009909 -0.0000044 -0.0000057
13.4774325 -0.0105953 -0.1347113  0.0045866 -0.0008352 -0.0000047 -0.0000062
13.5402643 -0.0106395 -0.1338967  0.0048433 -0.0007200 -0.0000068 -0.0000113
13.6030962 -0.0111893 -0.1332624  0.0048623 -0.0006436  0.0000014 -0.0000065
13.6659280 -0.0111031 -0.1335827  0.0045611 -0.0008448 -0.0000012 -0.0000008
13.7287599 -0.0113199 -0.1324602  0.0045554 -0.0007900 -0.0000029  0.0000048
13.7915917 -0.0108260 -0.1316263  0.0043635 -0.0009074 -0.0000005 -0.0000030
13.8544236 -0.0111242 -0.1312403  0.0044812 -0.0006705  0.0000045  0.0000048
13.9172555 -0.0114750 -0.1310048  0.0044198 -0.0005517 -0.0000020 -0.0000060
13.9800873 -0.0116345 -0.1310902  0.0043184 -0.0004930  0.0000058 -0.0000132
14.0429192 -0.0107939 -0.1305161  0.0042066 -0.0005283 -0.0000056 -0.0000000
14.1057510 -0.0103351 -0.1296162  0.0044997 -0.0006805  0.0000015 -0.0000046
14.1685829 -0.0105529 -0.1283925  0.0043225 -0.0006045  0.0000060 -0.0000005
14.2314147 -0.0098687 -0.1287674  0.0041586 -0.0008216 -0.0000066 -0.0000005
14.2942466 -0.0092884 -0.1282800  0.0041997 -0.0005922  0.0000018 -0.0000111
14.3570784 -0.0094083 -0.1271876  0.0041791 -0.0006097 -0.0000002 -0.0000082
14.4199103 -0.0100348 -0.1268046  0.0041194 -0.0005462  0.0000021  0.0000019
