model	U	wc	method	eb1-g1_1	eb2-g1_1	eb3-g1_1	eb4-g1_1	tb1-g1_1	tb2-g1_1	tb3-g1_1	tb4-g1_1	eb1-g2_1	eb2-g2_1	eb3-g2_1	eb4-g2_1	tb1-g2_1	tb2-g2_1	tb3-g2_1	tb4-g2_1	mu	t	ave_mu	ave_t	sector_sb1	consistency_sb1	sector_sb2	consistency_sb2	Sub-bath 1 weight	Sub-bath 2 weight	opt_iterations	opt_time_ratio	distance	session_id	datetime
4s_4b_2sb	4.0	2.0	bobyqa	1.653748318611154	-1.3169689345407993	-0.19032130522660842	-0.47151686302244555	0.6358170521694277	0.5442608115835013	-0.05417117545001919	0.356209382856822	-0.4715641352345419	1.6537511382088839	-1.3170180797716147	-0.19047191163827804	0.35622004421815157	0.6358179647834243	0.5442487545438404	0.05424398362993222	1.6122448979591835	1.0	1.0000554459579003	-0.9645309003470263	R0:N10:S0:1	Y	R0:N10:S0:1	Y	0.500000	0.500000	419	0.093	7.429048487e-06	mu_sweep_20260220_095832	2026-02-20@10:06
4s_4b_2sb	4.0	2.0	bobyqa	1.817510892196745	-1.3702934553764419	-0.46994446713132776	0.9206553021854682	0.6246284455578045	0.5560295925214183	-0.3559721424013078	0.18568670718979782	-0.4699527842922821	1.8176966211817738	-1.3703357440926938	0.9210480846289059	0.3559807494603708	0.6245896701945881	0.5560294794899415	0.18584964908393084	1.6326530612244898	1.0	1.0000085211062444	-0.9647068676914764	R0:N8:S0:1	Y	R0:N8:S0:1	Y	0.500000	0.500000	460	0.302	2.211645758e-06	mu_sweep_20260220_095832	2026-02-20@10:06
4s_4b_2sb	4.0	2.0	bobyqa	1.8369482703648048	-1.405546881374472	-0.4936841962250095	0.962534656666682	0.617567930379507	0.5555441743717514	-0.3593211389343257	0.21532646592637542	-0.49368517787659916	1.8369782600564752	-1.4055547091890759	0.9625688724412222	0.35932236157913516	0.6175630510687387	0.5555445239353962	-0.21534593404636254	1.6530612244897958	1.0	1.0000075238399682	-0.9647209055589244	R0:N8:S0:1	Y	R0:N8:S0:1	Y	0.500000	0.500000	1012	0.175	1.645430158e-06	mu_sweep_20260220_095832	2026-02-20@10:06
4s_4b_2sb	4.0	2.0	bobyqa	1.8574151249837634	-1.4401446375880989	0.9927854753398886	-0.5172352676725115	0.609725205515889	0.555090719980209	-0.24279272328563076	0.3624519275920921	-0.5172306288126117	1.857383119931587	-1.440121449722698	0.9927898477647684	0.362447211183587	0.6097248705610525	0.555091198414872	0.2427850495823698	1.6734693877551021	1.0	1.0000067704731466	-0.9647337764711759	R0:N8:S0:1	Y	R0:N8:S0:1	Y	0.500000	0.500000	570	0.137	1.235770226e-06	mu_sweep_20260220_095832	2026-02-20@10:06
4s_4b_2sb	4.0	2.0	bobyqa	1.8794656214630998	-1.4743839687410734	1.0151479720164114	-0.5406563421287602	0.6012622493139594	0.5546660163487287	0.26845453962237253	0.36543235959450043	-0.540654188032226	1.8794691705311155	-1.474375599238049	1.0151604106626524	0.36543031659557557	0.6012593863745443	0.55466670566902	-0.2684600317662242	1.693877551020408	1.0	1.0000058561475413	-0.9647460535389769	R0:N8:S0:1	Y	R0:N8:S0:1	Y	0.500000	0.500000	2651	0.403	9.357275052e-07	mu_sweep_20260220_095832	2026-02-20@10:07
4s_4b_2sb	4.0	2.0	bobyqa	1.900440432697715	-1.5079975941177846	1.028881716201642	-0.5639079212243032	0.5930943785117242	0.5542613547004777	-0.29070759507637944	0.3682247387907902	-0.5639102125611325	1.9004677853673861	-1.5080101712041754	1.0288927134795016	0.3682270952447808	0.5930913347705512	0.5542612191385574	-0.29071789473093923	1.7142857142857142	1.0	1.0000050293017582	-0.9647575311613888	R0:N8:S0:1	Y	R0:N8:S0:1	Y	0.500000	0.500000	3395	0.470	7.135156261e-07	mu_sweep_20260220_095832	2026-02-20@10:07
4s_4b_2sb	4.0	2.0	bobyqa	1.9206711088280453	-1.5412463028642598	-0.5870494482350582	1.0366210419251172	0.5853222001364579	0.5538716368943798	-0.3708885689890014	0.31021212914657637	-0.5870445690959026	1.9205186230965807	-1.5412164300912468	1.036509572550067	0.37088343259236833	0.5853555955560441	0.5538713507172423	0.310136441129237	1.7346938775510203	1.0	1.0000043098001286	-0.9647683014735421	R0:N8:S0:1	Y	R0:N8:S0:1	Y	0.500000	0.500000	5907	0.802	5.472423075e-07	mu_sweep_20260220_095832	2026-02-20@10:07
4s_4b_2sb	4.0	2.0	bobyqa	1.9382701940349822	-1.5738389279578802	-0.6100332837229172	1.0385869567077866	0.5784318238456798	0.5534983639524762	-0.37337456749208864	0.3265200863486141	-0.6100474798715657	1.938490617736717	-1.5739023348324301	1.0387451366547076	0.37338804447136925	0.5783811842236306	0.55349521199974	0.3266257027455473	1.7551020408163265	1.0	1.000003554428463	-0.9647785655083772	R0:N8:S0:1	Y	R0:N8:S0:1	Y	0.500000	0.500000	801	0.166	4.216825921e-07	mu_sweep_20260220_095832	2026-02-20@10:07
4s_4b_2sb	4.0	2.0	bobyqa	1.953429950550178	-1.6060984948682473	-0.6329325102690659	1.0363456073569524	0.5723967902862244	0.5531202619445024	-0.3757627226114682	0.34025000386117515	-0.6329285903243552	1.953296328716764	-1.6060717725091411	1.0362763452745842	0.37575850390382126	0.5724213751164466	0.5531197252731904	0.3401980517002253	1.7755102040816326	1.0	1.0000029236231391	-0.9647881141364344	R0:N8:S0:1	Y	R0:N8:S0:1	Y	0.500000	0.500000	3968	0.546	3.261436280e-07	mu_sweep_20260220_095832	2026-02-20@10:07
4s_4b_2sb	4.0	2.0	bobyqa	1.96533606177119	-1.6377042794446584	-0.6556823321381522	1.0304986730767525	0.5672928474036573	0.5527545029340293	-0.3779896867745576	0.3515717069827258	-0.6557046500019243	1.9654037365419583	-1.6378005765757957	1.030498492571122	0.3780103402614241	0.5672953351796307	0.5527483208114473	0.3515802480364418	1.7959183673469385	1.0	1.000002368130031	-0.9647969906031666	R0:N8:S0:1	Y	R0:N8:S0:1	Y	0.500000	0.500000	508	0.248	2.529443333e-07	mu_sweep_20260220_095832	2026-02-20@10:08
4s_4b_2sb	4.0	2.0	bobyqa	1.9739121660309404	-1.6687355860193474	-0.6783175710153444	1.0217568435582394	0.5630590282437391	0.5523918438527003	-0.380081639706764	0.36085908321135535	-0.6783135036348662	1.9738283293221355	-1.6687089645938649	1.0217248381326343	0.3800773442305223	0.5630709527553649	0.552391763388677	0.3608332210816253	1.816326530612245	1.0	1.0000018623561628	-0.9648050684182797	R0:N8:S0:1	Y	R0:N8:S0:1	Y	0.500000	0.500000	609	0.153	1.965487173e-07	mu_sweep_20260220_095832	2026-02-20@10:08
