E0_1	E_kin	GS_consistency	U	U_1_ave	eb1-g1_1	eb1-g1_1_ave	eb2-g1_1	eb2-g1_1_ave	eb3-g1_1	eb3-g1_1_ave	eb4-g1_1	eb4-g1_1_ave	eb5-g1_1	eb5-g1_1_ave	eb6-g1_1	eb6-g1_1_ave	eb7-g1_1	eb7-g1_1_ave	eb8-g1_1	eb8-g1_1_ave	githash	model	mu	mu_1_ave	ave_mu	n_1	script	sector_1	t	t_1_ave	t_ave	tb1-g1_1	tb1-g1_1_ave	tb2-g1_1	tb2-g1_1_ave	tb3-g1_1	tb3-g1_1_ave	tb4-g1_1	tb4-g1_1_ave	tb5-g1_1	tb5-g1_1_ave	tb6-g1_1	tb6-g1_1_ave	tb7-g1_1	tb7-g1_1_ave	tb8-g1_1	tb8-g1_1_ave	time	version
-10.38681985	-4.079390456	Y	4	0.08749493464	0.994716178	0.03736767772	-0.654705155	1.902714273	0.06335579534	0.02671798095	-0.0867870418	1.890625901	0.06254264002	0.6455217499	-0.6543539594	1.920011164	0.9914438171	0.1208447105	-0.08755769178	1.786542757	c985f85	4s_8b_1sb	1.18877551	0.9174134464	0.9086113946	0.9174134463	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.8013860334	-1.019847614	0.3951421607	-0.4524951702	0.3670098932	-0.8659794837	0.1416525731	-0.2905138853	0.1903991303	-0.7441974187	-0.1419763036	1.352705021	0.3666708512	-0.6047756119	0.3947883024	-0.9375766527	-0.1902349081	0.6930160878	2025-09-03@14:37	v2.10.6
-10.46683428	-4.074395917	Y	4	0.08812715903	1.006526493	0.03688207059	-0.6619992363	1.903428914	0.06157377122	0.02478753112	-0.08884926571	1.893281432	0.06002821543	0.6336142385	-0.658661974	1.921186926	0.9970757134	0.1199208733	-0.08911092749	1.784603363	c985f85	4s_8b_1sb	1.203877551	0.9205736628	0.9117945466	0.9205736627	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.8020346651	-1.018598979	0.3954160955	-0.4504157566	0.3687788719	-0.8630981627	0.1373177308	-0.2810009496	0.1911182023	-0.7398693287	-0.1370151101	1.330637829	0.3682846259	-0.5985740012	0.3944882623	-0.9360303309	-0.1904532278	0.6869281715	2025-09-03@14:45	v2.10.6
-10.54795936	-4.069364786	Y	4	0.08873672558	1.009821109	0.03651068666	-0.6645677112	1.903695393	0.05943203044	0.02276306478	-0.09060144105	1.896490454	0.05680702194	0.6215318459	-0.6672237852	1.923117941	1.000811133	0.119241866	-0.09218850762	1.781965614	c985f85	4s_8b_1sb	1.218979592	0.9236707837	0.9151102715	0.9236707836	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.802683698	-1.017341197	0.3947427524	-0.4488776705	0.3701209126	-0.8617371064	0.1323279336	-0.2702502679	0.1910179272	-0.7329020225	-0.1317505057	1.307583928	0.3695475094	-0.5902159206	0.3941495923	-0.9352641315	-0.1917199768	0.6824120049	2025-09-03@14:58	v2.10.6
-10.682013	-4.058959513	Y	4	0.08977845092	1.019369886	0.03591767339	-0.6773459727	1.90611921	0.05386111524	0.01938092094	-0.09578359602	1.902299809	0.05399638872	0.5930149489	-0.677418459	1.926256645	1.021608448	0.1168263444	-0.09522272964	1.78358587	c985f85	4s_8b_1sb	1.241632653	0.9291496448	0.9202678463	0.9291496446	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.8040488641	-1.014739878	0.3942230767	-0.4465781139	0.3720694617	-0.851712052	0.1234842749	-0.25173177	0.1924617092	-0.7210601967	-0.1234578984	1.26822183	0.3722885582	-0.5760388996	0.3944900157	-0.9300220293	-0.1924008371	0.6647703765	2025-09-03@15:20	v2.10.6
-10.77485185	-4.051242833	Y	4	0.09051073003	1.037197554	0.03534771367	-0.6863065218	1.907701191	0.05176717549	0.01729866994	-0.09844648958	1.906441463	0.05221005112	0.5709673444	-0.6856846001	1.928739632	1.038418197	0.1149556617	-0.09767157089	1.786591991	c985f85	4s_8b_1sb	1.256734694	0.9329890833	0.9238114341	0.9329890832	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.8049990145	-1.012810708	0.3947784529	-0.4441781634	0.3739301705	-0.8452115861	0.1179986736	-0.239924122	0.1931068834	-0.7114130143	-0.1178892902	1.240645534	0.3741552304	-0.5653388125	0.3947985995	-0.9256031869	-0.1929063764	0.6502147967	2025-09-03@15:36	v2.10.6
-10.92971064	-4.039113616	Y	4	0.09158609631	1.053961549	0.03469434046	-0.7009042103	1.910744163	0.04583458467	0.01408070242	-0.1049356225	1.912750321	0.0473904918	0.5351050686	-0.7001612479	1.93298342	1.057993966	0.1130395395	-0.10367397	1.791476204	c985f85	4s_8b_1sb	1.279387755	0.9387815604	0.9296778055	0.9387815602	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.8065017465	-1.009778404	0.3949144732	-0.4416482753	0.3758129953	-0.8324164193	0.1082084569	-0.2195259737	0.1946342337	-0.696331258	-0.1082447699	1.193043099	0.3762650353	-0.547274683	0.3952184119	-0.9221595621	-0.1942779377	0.627166795	2025-09-03@16:08	v2.10.6
-11.03202083	-4.029515013	Y	4	0.0923583459	1.071778122	0.0341572482	-0.711388362	1.913120598	0.04246561976	0.0120080942	-0.1091890387	1.917563026	0.04437046429	0.5056671426	-0.7089836911	1.936039874	1.076495374	0.1112551043	-0.107706455	1.798045747	c985f85	4s_8b_1sb	1.294489796	0.9430357914	0.9339070135	0.9430357912	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.8076386833	-1.007378753	0.3953426734	-0.4394734035	0.3772554205	-0.8223485226	0.1013512604	-0.2052177615	0.1954409734	-0.6832587826	-0.1015040471	1.157174361	0.3777875571	-0.5341015365	0.3956199662	-0.9182156019	-0.1947590369	0.606269655	2025-09-03@16:19	v2.10.6
-11.20275371	-4.012674863	Y	4	0.09363543007	1.115879121	0.0331513075	-0.7288142788	1.917117033	0.03904986768	0.009161181702	-0.1153891693	1.925668026	0.04041354814	0.4518804308	-0.7281931399	1.941788753	1.121267443	0.1074229008	-0.1146507578	1.813433303	c985f85	4s_8b_1sb	1.317142857	0.9500942663	0.9408502262	0.9500942662	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.8095458347	-1.003168716	0.3972599072	-0.4352115552	0.3802021221	-0.8054167269	0.09101838783	-0.1835432866	0.1962406519	-0.6584872535	-0.09128832929	1.096210337	0.3804934057	-0.5102966351	0.397758134	-0.9084967459	-0.1959968379	0.5673013031	2025-09-03@16:39	v2.10.6
-11.31805879	-4.000154303	Y	4	0.09449803359	1.146914362	0.03247748683	-0.7411713964	1.920254971	0.03574738399	0.007412287547	-0.1209325713	1.93131551	0.03628623493	0.4112128922	-0.73908111	1.945713119	1.145968186	0.1052834865	-0.1202872694	1.826088309	c985f85	4s_8b_1sb	1.332244898	0.9550604843	0.9463115549	0.9550604842	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.8108990028	-1.000038576	0.3984480521	-0.4323442204	0.3818072409	-0.7918377338	0.08345917279	-0.1680165781	0.1968459627	-0.6397216572	-0.08343983518	1.046631342	0.3818906289	-0.4935944513	0.3982200459	-0.9033594029	-0.1963770125	0.5368110128	2025-09-03@16:56	v2.10.6
-11.55525655	-3.97877375	Y	4	0.09586731663	1.20816257	0.03145664074	-0.7728010276	1.926737382	0.02717852218	0.005187423587	-0.1350033851	1.939457471	0.02881656079	0.3398000665	-0.7643261397	1.95272312	1.205398153	0.1007159459	-0.1323830444	1.851486407	c985f85	4s_8b_1sb	1.354897959	0.9631088858	0.956617817	0.9631088857	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.8130697663	-0.9946934375	0.4019172585	-0.428100291	0.3839099069	-0.7632454415	0.0717444452	-0.144589632	0.2000899617	-0.6121160283	-0.07142165972	0.9591381096	0.3841569489	-0.4643228628	0.4012345078	-0.8908141716	-0.1982287036	0.483611034	2025-09-04@07:00	v2.10.6
