#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g14_Re     g14_Im     
 9.6446894 -0.0000203 -0.1742512  0.0094536 -0.0000266 -0.0000016  0.0000090
 9.7075213 -0.0000197 -0.1733882  0.0093483 -0.0000204  0.0000030  0.0000088
 9.7703532 -0.0000069 -0.1725332  0.0092462 -0.0000136  0.0000075  0.0000078
 9.8331850  0.0000166 -0.1716902  0.0091469 -0.0000066  0.0000116  0.0000059
 9.8960169  0.0000490 -0.1708638  0.0090500  0.0000003  0.0000150  0.0000036
 9.9588487  0.0000869 -0.1700567  0.0089551  0.0000069  0.0000177  0.0000009
 10.0216806  0.0001277 -0.1692713  0.0088621  0.0000128  0.0000194 -0.0000018
 10.0845124  0.0001673 -0.1685086  0.0087706  0.0000180  0.0000200 -0.0000044
 10.1473443  0.0002022 -0.1677692  0.0086802  0.0000222  0.0000196 -0.0000065
 10.2101761  0.0002295 -0.1670515  0.0085908  0.0000254  0.0000182 -0.0000080
 10.2730080  0.0002471 -0.1663531  0.0085021  0.0000275  0.0000158 -0.0000087
 10.3358398  0.0002531 -0.1656704  0.0084140  0.0000284  0.0000126 -0.0000085
 10.3986717  0.0002470 -0.1649996  0.0083265  0.0000283  0.0000089 -0.0000073
 10.4615035  0.0002291 -0.1643356  0.0082397  0.0000272  0.0000050 -0.0000052
 10.5243354  0.0001999 -0.1636741  0.0081534  0.0000252  0.0000009 -0.0000023
 10.5871672  0.0001616 -0.1630098  0.0080679  0.0000222 -0.0000029  0.0000012
 10.6499991  0.0001167 -0.1623387  0.0079831  0.0000186 -0.0000062  0.0000052
 10.7128309  0.0000679 -0.1616581  0.0078991  0.0000145 -0.0000089  0.0000094
 10.7756628  0.0000176 -0.1609656  0.0078161  0.0000100 -0.0000107  0.0000135
 10.8384947 -0.0000306 -0.1602599  0.0077342  0.0000054 -0.0000117  0.0000174
 10.9013265 -0.0000748 -0.1595416  0.0076535  0.0000008 -0.0000118  0.0000207
 10.9641584 -0.0001122 -0.1588128  0.0075739 -0.0000036 -0.0000110  0.0000234
 11.0269902 -0.0001417 -0.1580756  0.0074954 -0.0000075 -0.0000095  0.0000254
 11.0898221 -0.0001614 -0.1573338  0.0074179 -0.0000107 -0.0000074  0.0000266
 11.1526539 -0.0001711 -0.1565918  0.0073415 -0.0000132 -0.0000047  0.0000270
 11.2154858 -0.0001707 -0.1558538  0.0072662 -0.0000149 -0.0000019  0.0000266
 11.2783176 -0.0001606 -0.1551240  0.0071918 -0.0000159  0.0000010  0.0000255
 11.3411495 -0.0001417 -0.1544068  0.0071183 -0.0000160  0.0000036  0.0000237
 11.4039813 -0.0001158 -0.1537047  0.0070457 -0.0000154  0.0000059  0.0000214
 11.4668132 -0.0000840 -0.1530207  0.0069738 -0.0000142  0.0000076  0.0000188
 11.5296450 -0.0000484 -0.1523558  0.0069025 -0.0000126  0.0000086  0.0000160
